Sample Time,Signal Value
1.5,0.9388007
1.51,0.815192543
1.52,0.568537436
1.53,0.24588854
1.54,0.020193093
1.55,-0.033320051
1.56,-0.027445541
1.57,-0.09611259
1.58,-0.201434877
1.59,-0.181668655
1.6,0.025773777
1.61,0.294034535
1.62,0.474002499
1.63,0.588470711
1.64,0.785746623
1.65,1.117553631
1.66,1.448849887
1.67,1.625171624
1.68,1.667595602
1.69,1.727276556
1.7,1.863407262
1.71,1.952110647
1.72,1.852773657
1.73,1.602597665
1.74,1.370867215
1.75,1.235872599
1.76,1.091954778
1.77,0.814156067
1.78,0.451994893
1.79,0.183459255
1.8,0.091264702
1.81,0.06879974
1.82,-0.015813313
1.83,-0.125332305
1.84,-0.098072942
1.85,0.129405228
1.86,0.428863399
1.87,0.64544654
1.88,0.794025372
1.89,1.016834327
1.9,1.362375491
1.91,1.692613331
1.92,1.848494461
1.93,1.84715368
1.94,1.84028196
1.95,1.892631913
1.96,1.887577568
1.97,1.690707106
1.98,1.345572079
1.99,1.030716215
2,0.836142874
2.01,0.666182712
2.02,0.400802103
2.03,0.090309536
2.04,-0.087756507
2.05,-0.052270214
2.06,0.084193332
2.07,0.177348338
2.08,0.248034997
2.09,0.442092168
2.1,0.809413126
2.11,1.208730911
2.12,1.471714666
2.13,1.60238981
2.14,1.739387087
2.15,1.936021843
2.16,2.0644997
2.17,1.978671039
2.18,1.712062523
2.19,1.438341761
2.2,1.248440793
2.21,1.050757647
2.22,0.730045398
2.23,0.342718028
2.24,0.075571029
2.25,0.021434442
2.26,0.078231314
2.27,0.108033493
2.28,0.134517932
2.29,0.305234602
2.3,0.670997672
2.31,1.088405357
2.32,1.38257337
2.33,1.548754585
2.34,1.718393422
2.35,1.940606465
2.36,2.084697948
2.37,2.001552145
2.38,1.723288806
2.39,1.42645313
2.4,1.2090822
2.41,0.987549915
2.42,0.652430908
2.43,0.264004794
2.44,0.01273011
2.45,-0.005523499
2.46,0.106543668
2.47,0.204682105
2.48,0.302324516
2.49,0.536599422
2.5,0.949456681
2.51,1.389162682
2.52,1.672573063
2.53,1.789411586
2.54,1.872090517
2.55,1.9780008
2.56,1.989166307
2.57,1.770596968
2.58,1.369584108
2.59,0.979586952
2.6,0.715409067
2.61,0.505250482
2.62,0.242704035
2.63,-0.017598441
2.64,-0.096918328
2.65,0.084089422
2.66,0.400688463
2.67,0.68174526
2.68,0.913502374
2.69,1.211845557
2.7,1.607041464
2.71,1.945103001
2.72,2.049294258
2.73,1.925543613
2.74,1.733445697
2.75,1.565987229
2.76,1.342544415
2.77,0.960466394
2.78,0.490918616
2.79,0.14154846
2.8,0.029389873
2.81,0.069408644
2.82,0.125513027
2.83,0.210561783
2.84,0.45711276
2.85,0.900453573
2.86,1.377834417
2.87,1.69004662
2.88,1.81100931
2.89,1.86529092
2.9,1.913143191
2.91,1.846367341
2.92,1.542253591
2.93,1.062853172
2.94,0.62051991
2.95,0.350121928
2.96,0.192976328
2.97,0.042359676
2.98,-0.060122083
2.99,0.043861799
3,0.409073332
3.01,0.881650904
3.02,1.258372323
3.03,1.498126807
3.04,1.704065184
3.05,1.912639611
3.06,1.991697548
3.07,1.796789565
3.08,1.374476248
3.09,0.931831992
3.1,0.609353487
3.11,0.361770678
3.12,0.099466396
3.13,-0.117569754
3.14,-0.112729099
3.15,0.184258944
3.16,0.628283734
3.17,1.015723011
3.18,1.29737664
3.19,1.564527015
3.2,1.841008426
3.21,1.982330082
3.22,1.833008427
3.23,1.432563032
3.24,0.987812263
3.25,0.64564755
3.26,0.370360301
3.27,0.081187917
3.28,-0.155283527
3.29,-0.157997251
3.3,0.144917286
3.31,0.605264071
3.32,1.011251525
3.33,1.303391609
3.34,1.565192895
3.35,1.817986295
3.36,1.919728749
3.37,1.721062243
3.38,1.271099278
3.39,0.789512392
3.4,0.436624094
3.41,0.185641548
3.42,-0.043964168
3.43,-0.194405002
3.44,-0.099743093
3.45,0.293343524
3.46,0.816759982
3.47,1.240536798
3.48,1.494001979
3.49,1.661722378
3.5,1.779761429
3.51,1.731016051
3.52,1.395554584
3.53,0.851311128
3.54,0.341685611
3.55,0.040217555
3.56,-0.082781878
3.57,-0.129056154
3.58,-0.076510523
3.59,0.199000618
3.6,0.711788489
3.61,1.264578381
3.62,1.613874111
3.63,1.696172981
3.64,1.625803964
3.65,1.48667979
3.66,1.216792095
3.67,0.745599514
3.68,0.18425216
3.69,-0.213411681
3.7,-0.289716031
3.71,-0.116377722
3.72,0.142987879
3.73,0.442133484
3.74,0.847155667
3.75,1.33863307
3.76,1.7173149
3.77,1.770456792
3.78,1.493741318
3.79,1.079091155
3.8,0.6900687
3.81,0.326603047
3.82,-0.054187073
3.83,-0.355212215
3.84,-0.375520884
3.85,-0.038495047
3.86,0.490809403
3.87,0.963060815
3.88,1.275211479
3.89,1.482105747
3.9,1.603839586
3.91,1.522870531
3.92,1.131469705
3.93,0.530297712
3.94,-0.007225589
3.95,-0.279873732
3.96,-0.306523876
3.97,-0.204572095
3.98,0.009376477
3.99,0.411403829
4,0.972729823
4.01,1.467664246
4.02,1.646532976
4.03,1.469484422
4.04,1.106633122
4.05,0.718944052
4.06,0.31931355
4.07,-0.114713917
4.08,-0.465037663
4.09,-0.513858297
4.1,-0.176730298
4.11,0.37573727
4.12,0.875974506
4.13,1.19838975
4.14,1.382832566
4.15,1.4494713
4.16,1.295384667
4.17,0.836417705
4.18,0.199440647
4.19,-0.319889658
4.2,-0.510618106
4.21,-0.40277245
4.22,-0.147525693
4.23,0.191244237
4.24,0.645309781
4.25,1.159789036
4.26,1.509367366
4.27,1.472651639
4.28,1.062215046
4.29,0.514551146
4.3,0.052754719
4.31,-0.274518364
4.32,-0.496299766
4.33,-0.544658572
4.34,-0.281975495
4.35,0.287690973
4.36,0.920083747
4.37,1.310143092
4.38,1.346668393
4.39,1.138903899
4.4,0.815828678
