sample,x,y_orig_r,y_orig_i,y_filt_r,y_filt_i
267,  2.6700,  0.6817,  0.0000, -0.2141,  0.0000
268,  2.6800,  0.9135,  0.0000,  0.0207,  0.0000
269,  2.6900,  1.2118,  0.0000,  0.3138,  0.0000
270,  2.7000,  1.6070,  0.0000,  0.6932,  0.0000
271,  2.7100,  1.9451,  0.0000,  1.0045,  0.0000
272,  2.7200,  2.0493,  0.0000,  1.0761,  0.0000
273,  2.7300,  1.9255,  0.0000,  0.9209,  0.0000
274,  2.7400,  1.7334,  0.0000,  0.7033,  0.0000
275,  2.7500,  1.5660,  0.0000,  0.5167,  0.0000
276,  2.7600,  1.3425,  0.0000,  0.2807,  0.0000
277,  2.7700,  0.9605,  0.0000, -0.1041,  0.0000
278,  2.7800,  0.4909,  0.0000, -0.5632,  0.0000
279,  2.7900,  0.1415,  0.0000, -0.8897,  0.0000
280,  2.8000,  0.0294,  0.0000, -0.9726,  0.0000
281,  2.8100,  0.0694,  0.0000, -0.9032,  0.0000
282,  2.8200,  0.1255,  0.0000, -0.8200,  0.0000
283,  2.8300,  0.2106,  0.0000, -0.7109,  0.0000
284,  2.8400,  0.4571,  0.0000, -0.4462,  0.0000
285,  2.8500,  0.9005,  0.0000,  0.0041,  0.0000
286,  2.8600,  1.3778,  0.0000,  0.4740,  0.0000
287,  2.8700,  1.6900,  0.0000,  0.7667,  0.0000
288,  2.8800,  1.8110,  0.0000,  0.8621,  0.0000
289,  2.8900,  1.8653,  0.0000,  0.8889,  0.0000
290,  2.9000,  1.9131,  0.0000,  0.9085,  0.0000
291,  2.9100,  1.8464,  0.0000,  0.8146,  0.0000
292,  2.9200,  1.5423,  0.0000,  0.4900,  0.0000
293,  2.9300,  1.0629,  0.0000,  0.0029,  0.0000
294,  2.9400,  0.6205,  0.0000, -0.4327,  0.0000
295,  2.9500,  0.3501,  0.0000, -0.6855,  0.0000
296,  2.9600,  0.1930,  0.0000, -0.8190,  0.0000
297,  2.9700,  0.0424,  0.0000, -0.9420,  0.0000
298,  2.9800, -0.0601,  0.0000, -1.0137,  0.0000
299,  2.9900,  0.0439,  0.0000, -0.8800,  0.0000
300,  3.0000,  0.4091,  0.0000, -0.4932,  0.0000
301,  3.0100,  0.8817,  0.0000, -0.0127,  0.0000
302,  3.0200,  1.2584,  0.0000,  0.3586,  0.0000
303,  3.0300,  1.4981,  0.0000,  0.5835,  0.0000
304,  3.0400,  1.7041,  0.0000,  0.7682,  0.0000
305,  3.0500,  1.9126,  0.0000,  0.9498,  0.0000
306,  3.0600,  1.9917,  0.0000,  0.9983,  0.0000
307,  3.0700,  1.7968,  0.0000,  0.7755,  0.0000
308,  3.0800,  1.3745,  0.0000,  0.3357,  0.0000
309,  3.0900,  0.9318,  0.0000, -0.1104,  0.0000
310,  3.1000,  0.6094,  0.0000, -0.4245,  0.0000
311,  3.1100,  0.3618,  0.0000, -0.6551,  0.0000
312,  3.1200,  0.0995,  0.0000, -0.8931,  0.0000
313,  3.1300, -0.1176,  0.0000, -1.0792,  0.0000
314,  3.1400, -0.1127,  0.0000, -1.0410,  0.0000
315,  3.1500,  0.1843,  0.0000, -0.7164,  0.0000
316,  3.1600,  0.6283,  0.0000, -0.2571,  0.0000
317,  3.1700,  1.0157,  0.0000,  0.1323,  0.0000
318,  3.1800,  1.2974,  0.0000,  0.4055,  0.0000
319,  3.1900,  1.5645,  0.0000,  0.6560,  0.0000
320,  3.2000,  1.8410,  0.0000,  0.9079,  0.0000
321,  3.2100,  1.9823,  0.0000,  1.0189,  0.0000
322,  3.2200,  1.8330,  0.0000,  0.8404,  0.0000
323,  3.2300,  1.4326,  0.0000,  0.4202,  0.0000
324,  3.2400,  0.9878,  0.0000, -0.0307,  0.0000
325,  3.2500,  0.6456,  0.0000, -0.3666,  0.0000
326,  3.2600,  0.3704,  0.0000, -0.6263,  0.0000
327,  3.2700,  0.0812,  0.0000, -0.8916,  0.0000
328,  3.2800, -0.1553,  0.0000, -1.0969,  0.0000
329,  3.2900, -0.1580,  0.0000, -1.0656,  0.0000
330,  3.3000,  0.1449,  0.0000, -0.7344,  0.0000
331,  3.3100,  0.6053,  0.0000, -0.2585,  0.0000
332,  3.3200,  1.0113,  0.0000,  0.1492,  0.0000
333,  3.3300,  1.3034,  0.0000,  0.4322,  0.0000
334,  3.3400,  1.5652,  0.0000,  0.6766,  0.0000
335,  3.3500,  1.8180,  0.0000,  0.9046,  0.0000
336,  3.3600,  1.9197,  0.0000,  0.9767,  0.0000
337,  3.3700,  1.7211,  0.0000,  0.7509,  0.0000
338,  3.3800,  1.2711,  0.0000,  0.2847,  0.0000
339,  3.3900,  0.7895,  0.0000, -0.1982,  0.0000
340,  3.4000,  0.4366,  0.0000, -0.5395,  0.0000
341,  3.4100,  0.1856,  0.0000, -0.7699,  0.0000
342,  3.4200, -0.0440,  0.0000, -0.9722,  0.0000
343,  3.4300, -0.1944,  0.0000, -1.0902,  0.0000
344,  3.4400, -0.0997,  0.0000, -0.9633,  0.0000
345,  3.4500,  0.2933,  0.0000, -0.5465,  0.0000
346,  3.4600,  0.8168,  0.0000, -0.0143,  0.0000
347,  3.4700,  1.2405,  0.0000,  0.4034,  0.0000
348,  3.4800,  1.4940,  0.0000,  0.6405,  0.0000
349,  3.4900,  1.6617,  0.0000,  0.7858,  0.0000
350,  3.5000,  1.7798,  0.0000,  0.8777,  0.0000
351,  3.5100,  1.7310,  0.0000,  0.8025,  0.0000
352,  3.5200,  1.3956,  0.0000,  0.4474,  0.0000
353,  3.5300,  0.8513,  0.0000, -0.1022,  0.0000
354,  3.5400,  0.3417,  0.0000, -0.6008,  0.0000
355,  3.5500,  0.0402,  0.0000, -0.8790,  0.0000
356,  3.5600, -0.0828,  0.0000, -0.9729,  0.0000
357,  3.5700, -0.1291,  0.0000, -0.9884,  0.0000
358,  3.5800, -0.0765,  0.0000, -0.9061,  0.0000
359,  3.5900,  0.1990,  0.0000, -0.6068,  0.0000
360,  3.6000,  0.7118,  0.0000, -0.0832,  0.0000
361,  3.6100,  1.2646,  0.0000,  0.4636,  0.0000
362,  3.6200,  1.6139,  0.0000,  0.7932,  0.0000
363,  3.6300,  1.6962,  0.0000,  0.8497,  0.0000
